,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
sub_0066,10.75330372,1.205065959,1.203523773,4.128123534,5.317747817,3.665781453,3.623003597,1.429739325,9.40740363,8.320914384,1.067289403,10.76633441,8.196342123,5.515804101,12.68754849,7.480029606,6.303811876,1.741842306,8.512300913,8.243583281,0.79412489,2.852177894,2.66867684,0.302803336,0.4983838,0.493086749
sub_0067,10.61738814,1.146922989,1.14403928,4.18241712,4.022400112,4.031978415,3.886187007,1.585250858,9.981701293,9.567808676,0.918614017,12.87791945,8.163350738,4.556040525,13.01211933,7.149470996,5.512958009,2.405268575,6.696567264,7.041689486,1.026590826,3.837493465,3.674373983,0.370934957,0.454626646,0.473367379
sub_0068,10.37048669,1.058003998,0.978838185,4.022825191,4.383940247,3.607578897,3.927985397,1.599906347,9.261145644,8.62130275,0.915027783,15.08118984,7.27040177,7.410249701,16.34818325,8.679710621,6.71935559,1.98649274,7.833069817,8.278227677,0.943595622,2.81574559,2.817199163,0.404255174,0.53609147,0.539448394
sub_0104,15.0586863,1.156246287,1.159999114,4.445051114,4.943881597,3.872200668,3.739795831,1.597181058,13.81698078,13.37488728,1.136962484,18.37773789,10.53294256,7.869509035,17.33264612,10.54923999,9.993817813,2.302737258,12.31238272,11.4055576,1.082656941,5.603586831,5.413377317,0.467853886,0.538557794,0.700011667
sub_0105,9.196686217,1.717635275,1.368403546,2.921719768,3.497070169,4.68418376,4.433487995,1.707483728,8.251021085,7.329002293,1.021966334,11.62958647,8.198735195,5.372840846,11.76171631,8.220481055,4.787047966,2.351335285,7.895658196,8.309545592,1.079573333,3.979661186,3.499501996,0.368057853,0.332173456,0.278936305
sub_0106,12.92227156,0.825502692,1.050338189,3.903244069,4.128011988,4.338410985,3.602461781,1.874893294,9.030540565,9.883037869,0.948927691,15.89763992,11.17296236,7.766532345,15.8342313,10.26087448,9.841496417,2.378963224,7.633157289,7.175129555,1.215862734,4.530284703,4.721188624,0.336353455,0.525276137,0.527758381
sub_0107,13.39239705,1.057931453,1.436466815,4.162752458,3.508166654,3.564351873,3.728083284,1.582337605,9.817967381,9.363584963,1.239990867,14.2030805,9.998820514,5.393561462,14.76607565,7.963778127,8.383449396,2.007674328,7.790907854,8.879356716,1.031470539,2.565856202,2.770244953,0.461080558,0.520420463,0.570158165
sub_0108,9.858186543,1.045258855,0.854870655,3.100035446,3.856999455,2.818698533,2.878202175,1.52632497,8.954347088,7.536750155,0.979391685,12.60889802,6.624824702,4.993162027,13.36403699,7.629832356,4.446366806,2.10301642,7.497125359,7.801153522,0.934634152,3.414965294,3.493122628,0.386789544,0.374866586,0.282026985
sub_0109,11.89845366,0.906235793,0.913461081,3.373744432,4.654696863,4.127281173,3.312243091,1.781623429,9.887798688,9.119071595,1.119212103,14.12897344,10.10102001,7.144786398,14.19454475,10.00588438,8.117828444,2.369714479,7.8126631,6.060378568,0.845207306,3.061795987,3.31106239,0.48562888,0.417446009,0.479123205
sub_0110,13.1406209,1.376358304,1.638009554,4.883086532,5.03770728,2.644424142,3.344744953,1.33616005,10.99026115,10.86308738,1.103536494,16.00970604,8.471511576,5.860808052,15.68800805,7.561088021,7.4221608,1.853207188,8.57416669,7.672909293,0.883522733,2.5734508,2.647030399,0.351558487,0.539408974,0.562199771
